AISC MANUAL LABEL,TYPE,Weight,Area,Depth,Height,Outer Diameter,bf,B,ID,tw,tf,T,TNOM,TDES,Kdes,Kdet,K1,X,Y,E0,XP,YP,bf/2tf,B_T,h/t,H_T,D_T,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,rz,J,Cw,C,WNO,SW,QF,QW,RO,H,TAN_ALPHA,QS
,,lbs,in2,in,in,in,in,in,in,in,in,,in,in,in,in,IN,,,,,,,,,,,in4,in3,in3,in,in4,in3,in3,in,in,in4,in6,,,,,,,,,
W44X335,W,335,98.5,44.0,,,15.9,,,1.03,1.77,,,,2.56,2.625,1.3125,,,,,,4.50,,38.0,,,31100,1620,1410,17.8,1200,236,150,3.49,,74.7,535000,,168,1180,278,805,,,,
W44X290,W,290,85.4,43.6,,,15.8,,,0.865,1.58,,,,2.36,2.4375,1.25,,,,,,5.02,,45.0,,,27000,1410,1240,17.8,1040,205,132,3.49,,50.9,461000,,166,1040,248,701,,,,
W44X262,W,262,76.9,43.3,,,15.8,,,0.785,1.42,,,,2.20,2.25,1.1875,,,,,,5.57,,49.6,,,24100,1270,1110,17.7,923,182,117,3.47,,37.3,405000,,165,928,223,630,,,,
W44X230,W,230,67.7,42.9,,,15.8,,,0.710,1.22,,,,2.01,2.0625,1.1875,,,,,,6.45,,54.8,,,20800,1100,971,17.5,796,157,101,3.43,,24.9,346000,,165,793,192,547,,,,
W40X593,W,593,174,43.0,,,16.7,,,1.79,3.23,,,,4.41,4.5,2.125,,,,,,2.58,,19.1,,,50400,2760,2340,17.0,2520,481,302,3.80,,445,997000,,166,2240,479,1370,,,,
W40X503,W,503,148,42.1,,,16.4,,,1.54,2.76,,,,3.94,4,2,,,,,,2.98,,22.3,,,41600,2320,1980,16.8,2040,394,249,3.72,,277,789000,,161,1830,403,1150,,,,
W40X431,W,431,127,41.3,,,16.2,,,1.34,2.36,,,,3.54,3.625,1.875,,,,,,3.44,,25.5,,,34800,1960,1690,16.6,1690,328,208,3.65,,177,638000,,158,1510,341,969,,,,
W40X397,W,397,117,41.0,,,16.1,,,1.22,2.20,,,,3.38,3.5,1.8125,,,,,,3.66,,28.0,,,32000,1800,1560,16.6,1540,300,191,3.64,,142,579000,,156,1380,318,891,,,,
W40X372,W,372,109,40.6,,,16.1,,,1.16,2.05,,,,3.23,3.3125,1.8125,,,,,,3.93,,29.5,,,29600,1680,1460,16.5,1420,277,177,3.60,,116,528000,,155,1280,295,829,,,,
W40X362,W,362,107,40.6,,,16.0,,,1.12,2.01,,,,3.19,3.25,1.75,,,,,,3.99,,30.5,,,28900,1640,1420,16.5,1380,270,173,3.60,,109,513000,,154,1240,289,808,,,,
W40X324,W,324,95.3,40.2,,,15.9,,,1.00,1.81,,,,2.99,3.0625,1.6875,,,,,,4.40,,34.2,,,25600,1460,1280,16.4,1220,239,153,3.58,,79.4,448000,,153,1100,259,720,,,,
W40X297,W,297,87.4,39.8,,,15.8,,,0.930,1.65,,,,2.83,2.9375,1.6875,,,,,,4.80,,36.8,,,23200,1330,1170,16.3,1090,215,138,3.54,,61.2,399000,,151,982,234,652,,,,
W40X277,W,277,81.4,39.7,,,15.8,,,0.830,1.58,,,,2.76,2.875,1.625,,,,,,5.03,,41.2,,,21900,1250,1100,16.4,1040,204,132,3.58,,51.5,379000,,151,940,225,614,,,,
W40X249,W,249,73.3,39.4,,,15.8,,,0.750,1.42,,,,2.60,2.6875,1.5625,,,,,,5.55,,45.6,,,19600,1120,993,16.3,926,182,118,3.55,,38.1,334000,,150,841,203,551,,,,
W40X215,W,215,63.4,39.0,,,15.8,,,0.650,1.22,,,,2.40,2.5,1.5625,,,,,,6.45,,52.6,,,16700,964,859,16.2,796,156,101,3.54,,24.8,284000,,149,719,175,473,,,,
W40X199,W,199,58.5,38.7,,,15.8,,,0.650,1.07,,,,2.25,2.3125,1.5625,,,,,,7.39,,52.6,,,14900,869,770,16.0,695,137,88.2,3.45,,18.3,246000,,149,628,153,427,,,,
W40X392,W,392,115,41.6,,,12.4,,,1.42,2.52,,,,3.70,3.8125,1.9375,,,,,,2.45,,24.1,,,29900,1710,1440,16.1,803,212,130,2.64,,172,306000,,121,946,270,848,,,,
W40X331,W,331,97.5,40.8,,,12.2,,,1.22,2.13,,,,3.31,3.375,1.8125,,,,,,2.86,,28.0,,,24700,1430,1210,15.9,644,172,106,2.57,,105,241000,,118,766,226,706,,,,
