Name,Species,Grade,Size,Fb,Ft,Fv,Fc_par,Fc_perp,E
Douglas Fir-Larch  Select Structural,Douglas Fir-Larch ,Select Structural,typ,1500,1000,95,625,1700,1900000
Douglas Fir-Larch  No. 1 and better,Douglas Fir-Larch ,No. 1 and better,typ,1200,800,95,625,1550,1800000
Douglas Fir-Larch  No. 1 ,Douglas Fir-Larch ,No. 1,typ,1000,675,95,625,1500,1700000
Douglas Fir-Larch  No. 2 ,Douglas Fir-Larch ,No. 2,typ,900,575,95,625,"1,350",1600000
Douglas Fir-Larch  Construction ,Douglas Fir-Larch ,Construction,typ,1000,650,95,625,1650,1500000
Douglas Fir-Larch  Standard.,Douglas Fir-Larch ,Standard,typ,575,375,95,625,1400,1400000
> (5 x 5) Douglas Fir-Larch  Select Structural,Douglas Fir-Larch ,Select Structural,> (5 x 5) ,1500,1000,85,625,1100,1600000
> (5 x 5) Douglas Fir-Larch  No. 1 ,Douglas Fir-Larch ,No. 1,> (5 x 5) ,1200,825,85,625,700,1600000
> (5 x 5) Douglas Fir-Larch  No. 2 ,Douglas Fir-Larch ,No. 2,> (5 x 5) ,750,475,85,625,600,1300000
Douglas Fir-Larch (North)  Select Structural,Douglas Fir-Larch ,Select Structural,typ,1350,825,95,625,1900,1900000
Douglas Fir-Larch (North)  No. 1 / No. 2,Douglas Fir-Larch ,No. 1 / No. 2,typ,850,500,95,625,1400,1600000
Douglas Fir-Larch (North) Construction,Douglas Fir-Larch ,Construction,typ,950,575,95,625,1800,1500000
Douglas Fir-Larch (North) Standard,Douglas Fir-Larch ,Standard,typ,525,325,95,625,1450,1400000
> (5 x 5) Douglas Fir-Larch (North) Select Structural,Douglas Fir-Larch ,Select Structural,> (5 x 5) ,1500,1000,85,625,1150,1600000
> (5 x 5) Douglas Fir-Larch (North) No. 1 ,Douglas Fir-Larch ,No. 1,> (5 x 5) ,1200,825,85,625,1000,1600000
> (5 x 5) Douglas Fir-Larch (North) No. 2,Douglas Fir-Larch ,No. 2,> (5 x 5) ,725,475,85,625,700,1300000
Douglas Fir (South)  select structural,Douglas Fir,Select Structural,typ,1350,900,90,520,1600,1400000
Douglas Fir (South)  No. 1,Douglas Fir,No. 1,typ,925,600,90,520,1450,1300000
Douglas Fir (South)  No. 2,Douglas Fir,No. 2,typ,850,525,90,520,1350,1200000
Douglas Fir (South)  Construction,Douglas Fir,Construction,typ,975,600,90,520,1650,1200000
Douglas Fir (South) Standard,Douglas Fir,Standard,typ,550,350,90,520,1400,1100000
> (5 x 5) Douglas Fir (South)  select structural,Douglas Fir,Select Structural,> (5 x 5) ,1400,950,85,520,1050,1200000
> (5 x 5) Douglas Fir (South)  No. 1,Douglas Fir,No. 1,> (5 x 5) ,1150,775,85,520,925,1200000
